name,description,type,available_formats,source,coverage_extent,footprint,download_size,recommended_use,date_created,tags,known_issues,alternative_data,derivative_data,relationship_tag,category,download,download_link,order,wms_link,pop_link,thumb,main_image,wms_category
HGAC 2010,"H-GAC 2010 1 Foot, 6 Inch, and 3 inch Resolution Digital Orthophoto Images in Natural Color.",Raster/Imagery,JP2,H-GAC (Vendor: Pixxures),All or portions of the H-GAC region.,Lambert grid,"2 foot: 61.5 4GB, 6-inch: 8.69 GB, 3-inch: 32.1 GB","Basemap, Research",2010,"Houston, Galveston, Harris, Fort Bend, Waller, Montgomery, Chambers, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, Historical",,"NAIP, TOP",,,Imagery,F,,T,r.tnris.org/arcgis/services/HGAC/HGAC_2010_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HGAC/HGAC_2010_NC/ImageServer?f=jsapi,,,
HPIDS Brazos 2011,The 6-inch and 12-inch orthoimagery were acquired in January 2013 during leaf-off conditions. The dataset covers Brazos County and portions of Grimes County. Area covered is approximately 766 square miles. Five local entities and TNRIS contributed funds to collect the new imagery using the High Priority Imagery and Data Sets (HPIDS) State contract administered by the TNRIS Strategic Mapping Program (StratMap). High resolution 6-inch and 12-inch 4-band (RGBIR) natural color and color infrared orthoimagery.,Raster/Imagery,JP2,"TNRIS, BCAD, College Station, Bryan, Brazos 9-1-1, TMPA",Brazos County and portions of Grimes County. Area covered is approximately 766 square miles.,Custom (1.3 sq. mi. tiles),17.8 GB,"Basemap, Research",2011,"College Station, Brazos, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, Historical",,"NAIP, TOP",Mosaics,,Imagery,T,,T,r.tnris.org/arcgis/services/HPIDS/HPIDS_Brazos_2011_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Brazos_2011_NC/ImageServer?f=jsapi,,,
HPIDS Brazos 2013,The 6-inch and 12-inch orthoimagery were acquired between January and February 2013 during leaf-off conditions. The dataset covers Brazos County. Area covered is approximately 758 square miles. Five local entities contributed funds to collect the new imagery using the High Priority Imagery and Data Sets (HPIDS) State contract administered by the TNRIS Strategic Mapping Program (StratMap). High resolution 6-inch and 12-inch 4-band (RGBIR) natural color and color infrared orthoimagery.,Raster/Imagery,JP2,"TNRIS, BCAD, College Station, Bryan, Brazos 9-1-1, TMPA","Brazos County, Area covered is approximately 758 square miles.",,11.5 GB,"Basemap, Research",2013,"College Station, Brazos, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, Historical",,"NAIP, TOP",Mosaics,,Imagery,F,,T,r.tnris.org/arcgis/services/HPIDS/HPIDS_Brazos_2013/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Brazos_2013/ImageServer?f=jsapi,,,
HPIDS Galveston 2009,The 6-inch orthoimagery were acquired in May 2009 during leaf-on conditions. The dataset covers Galveston Island and adjacent coastal areas north and south of the island. Area covered is approximately 60 square miles. Two state agencies contributed funds to collect the new imagery using the High Priority Imagery and Data Sets (HPIDS) State contract administered by the TNRIS Strategic Mapping Program (StratMap). High resolution 6-inch 4-band (RGBIR) natural color and color infrared orthoimagery.,Raster/Imagery,MrSID,"TNRIS, TFS, GLO",Galveston Island and adjacent coastal areas north and south of the island. Area covered is approximately 60 square miles.,DOQQ,11.3 GB,"Basemap, Research",2009,"Galveston, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, CIR, Color Infrared, Historical",,"NAIP, TOP",Mosaics,,Imagery,T,,T,r.tnris.org/arcgis/services/HPIDS/HPIDS_Galveston_2009_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Galveston_2009_NC/ImageServer?f=jsapi,,,
HPIDS Galveston 2009 CIR,The 6-inch orthoimagery were acquired in May 2009 during leaf-on conditions. The dataset covers Galveston Island and adjacent coastal areas north and south of the island. Area covered is approximately 60 square miles. Two state agencies contributed funds to collect the new imagery using the High Priority Imagery and Data Sets (HPIDS) State contract administered by the TNRIS Strategic Mapping Program (StratMap).,Raster/Imagery,JP2,"TNRIS, TFS, GLO",Galveston Island and adjacent coastal areas north and south of the island. Area covered is approximately 60 square miles.,DOQQ,11.3 GB,"Basemap, Research",2009,"Galveston, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, CIR, Color Infrared, Historical",,"NAIP, TOP",Mosaics,,Imagery,T,,T,r.tnris.org/arcgis/services/HPIDS/HPIDS_Galveston_2009_CIR/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Galveston_2009_CIR/ImageServer?f=jsapi,,,
HPIDS Houston 2013,"The 12-inch orthoimagery were acquired between January and February 2013 during leaf-off conditions. The dataset covers portions of Harris County, mainly over the City of Houston. Area covered is approximately 805 square miles. One local entity contributed funds to collect the new imagery using the High Priority Imagery and Data Sets (HPIDS) State contract administered by the TNRIS Strategic Mapping Program (StratMap). High resolution 12-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",Raster/Imagery,JP2,"TNRIS, Houston","Harris County, mainly over the City of Houston. Area covered is approximately 805 square miles.",DOQQ,7.84 GB,"Basemap, Research",2013,"Houston, Harris, Orthoimagery, Aerial, Imagery, Natural, Infrared, Color, NC, CIR, Historical",,"NAIP, TOP",Mosaics,,Imagery,F,,T,r.tnris.org/arcgis/services/HPIDS/HPIDS_Houston_2013_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Houston_2013_NC/ImageServer?f=jsapi,,,
HPIDS Smith 2010,"The 6-inch and 12-inch orthoimagery were acquired between January and February 2010 during leaf-off conditions. The dataset covers Smith County and adjacent Lake Palestine. Area covered is approximately 1,432 square miles. Four local entities and TNRIS contributed funds to collect the new imagery using the High Priority Imagery and Data Sets (HPIDS) State contract administered by the TNRIS Strategic Mapping Program (StratMap). High resolution 6-inch and 12-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",,JP2,,"Smith County and adjacent Lake Palestine. Area covered is approximately 1,432 square miles.",DOQQQ,27.5 GB,"Basemap, Research",2010,"Tyler, Smith, County, Lake Palestine, Natural, Infrared, Color, Orthoimagery, Aerial Imagery, Historical",,"NAIP, TOP",Mosaics,,Imagery,T,,T,r.tnris.org/arcgis/services/HPIDS/HPIDS_Smith_2010_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Smith_2010_NC/ImageServer?f=jsapi,,,
HPIDS Smith 2014,"The 6-inch orthoimagery were acquired in early January 2014 during leaf-off conditions. The dataset covers Smith County and adjacent Lake Palestine. Area covered is approximately 1,166 square miles. Four local entities and TNRIS contributed funds to collect the new imagery using the High Priority Imagery and Data Sets (HPIDS) State contract administered by the TNRIS Strategic Mapping Program (StratMap). High resolution 6-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",Raster/Imagery,JP2,"TNRIS, Smith County 9-1-1, Tyler, Smith County, SCAD","Smith County and adjacent Lake Palestine. Area covered is approximately 1,166 square miles.",DOQQQQ,42.6 GB,"Basemap, Research",2014,"Tyler, Smith, County, Lake Palestine, Natural, Infrared, Color, Orthoimagery, Aerial Imagery",,"NAIP, TOP",Mosaics,,Imagery,F,,T,r.tnris.org/arcgis/services/HPIDS/HPIDS_Smith_2014_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Smith_2014_NC/ImageServer?f=jsapi,,,
HPIDS South Texas 2013,"The 6-inch, 9-inch, and 12-inch orthoimagery were acquired between December 2012 and February 2013 during leaf-off conditions. The dataset covers these counties: Zapata, Jim Hogg, Starr, Hidalgo, Willacy, and portions of Cameron. Area covered is approximately 6,236 square miles. Eleven local entities and one federal agency contributed funds to collect the new imagery using the High Priority Imagery and Data Sets (HPIDS) State contract administered by the TNRIS Strategic Mapping Program (StratMap). High resolution 6-inch, 9-inch, and 12-inch 3-band (RGB) natural color orthoimagery.",Raster/Imagery,JP2,"TNRIS, BPUB, Laredo, McAllen, Pharr, Port Isabel, Weslaco, HCDD#1, HCMPO, HCRMA, LMWD, LRGVDC, USGS","Zapata, Jim Hogg, Starr, Hidalgo, Willacy, and portions of Cameron. Area covered is approximately 6,236 square miles.",DOQQQQ,163 GB,"Basemap, Research",2013,"Zapata, Jim Hogg, Starr, Hidalgo, Willacy, Cameron, County, McAllen, ",,"NAIP, TOP",Mosaics,,Imagery,F,,T,r.tnris.org/arcgis/services/HPIDS/HPIDS_South_Texas_2013_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_South_Texas_2013_NC/ImageServer?f=jsapi,,,
HPIDS Bexar 2010,"The 6-inch orthoimagery were acquired between January and February 2010 during leaf-off conditions. The dataset covers Bear, Comal, and Guadalupe Counties. Area covered is approximately 2,546 square miles. Three local and one federal entity as well as TNRIS contributed funds to collect the new imagery using the High Priority Imagery and Data Sets (HPIDS) State contract administered by the TNRIS Strategic Mapping Program (StratMap). High resolution 6-inch 4-band (RGBIR) natural color and color infrared orthoimagery.",Raster/Imagery,MrSID,"TNRIS, Bexar Metro 9-1-1, San Antonio, BCAD","Bear, Comal, and Guadalupe Counties. Area covered is approximately 2,546 square miles.",DOQ,56.4 GB,"Basemap, Research",2010,"Bexar, Comal, Guadalupe, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, San Antonio, Historical",,"NAIP, TOP",Mosaics,,Imagery,T,,T,r.tnris.org/arcgis/services/HPIDS/HPIDS_Bexar_2010_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HPIDS/HPIDS_Bexar_2010_NC/ImageServer?f=jsapi,,,
IBWC 2006 70cm,"Provide high density lidar elevation data map of IBWC. Provide Bare Earth DEM (vegetation removal) of Cameron County, TX. This lidar operation was designed to provide a high density set of mass points within the defined areas. The data sets are suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts. Typical uses for the data set include: FEMA Flood Plain Map Modernization. DFIRM map updates. Watersheds and other hydro studies per FEMA specifications. County Mapping projects which include several uses, in addition to Flood mitigation assessment. Mapping projects that include accuracy verification, reporting and meta data.",Raster,LAS,IBWC,"Cameron, Willacy, Portions of Hidalgo, Starr, Zapata over the Rio Grande",,N/A Downloadable,"Basemap, Research, Analysis",2006,"Cameron, Willacy, Hidalgo, International Boundary Water Commission, IBWC, Border, Rio Grande, County, Lidar, Point Cloud,  LAS, Elevation, Flood",,"Breaklines, DEM",,,lidar,F,,T,,,,,
IBWC 2011,"The 6-inch orthoimagery were acquired between December 2010 and April 2011 during leaf-off conditions. The dataset covers portions of the Texas/Mexico border on the US side. Area covered is approximately 6,581 square miles. High resolution 6-inch 3-band (RGB) natural color orthoimagery .",Raster/Imagery,MrSID,IBWC,"Texas/Mexico border on the US side. Area covered is approximately 6,581 square miles.",DOQQQQ,"143 GB (US), 41.6 (MEX)","Basemap, Research",2011,"International Border, Border, Rio Grande, IBWC, Natural Color, NC, Orthoimagery, Aerial Imagery, Historical",,"NAIP, TOP",Mosaics,,Imagery,F,,T,r.tnris.org/arcgis/services/IBWC/IBWC_2011_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/IBWC/IBWC_2011_NC/ImageServer?f=jsapi,,,
IBWC 2011 70cm,"Provide high density lidar elevation data map of IBWC. Provide Bare Earth DEM (vegetation removal) of Cameron County, TX. This lidar operation was designed to provide a high density set of mass points within the defined areas. The data sets are suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts. Typical uses for the data set include: FEMA Flood Plain Map Modernization. DFIRM map updates. Watersheds and other hydro studies per FEMA specifications. County Mapping projects which include several uses, in addition to Flood mitigation assessment. Mapping projects that include accuracy verification, reporting and meta data.",Raster,LAS,IBWC,"Cameron, Willacy, Portions of Hidalgo, Starr, Zapata, Webb, Maverick, Kinney, Val Verde, Presidio, Hudspeth, El Paso over the Rio Grande",USNG,N/A Downloadable,"Basemap, Research, Analysis",2011,"Cameron, Willacy, Hidalgo, International Boundary Water Commission, IBWC, Border, Rio Grande, County, Lidar, Point Cloud,  LAS, Elevation, Flood",,,"DEM, Breaklines, Contours, Building Footprints",,lidar,F,,T,,,,,
Index,"Indices for Landsat, National Grid, SPOT, and USGS. Landsat: Frames and grid, National Grid: UTM Zones/Grids, SPOT: Frames and grid, USGS: Degree block, 250k, 100k, Quadrangle, Quadrangle 4th/DOQQ, Quadrangle 16th/DOQQQ, Quadrangle 64th/DOQQQQ",Vector,Shapefile,"TNRIS, USGS",Statewide coverage,"Degree block, 250k, 100k, Quadrangle, Quadrangle 4th/DOQQ, Quadrangle 16th/DOQQQ, Quadrangle 64th/DOQQQQ",364 MB,"Basemap, Research",2014,"Texas, Index, Indices, 250k, 100k,  24k, Degree, Quadrangle",,,,,Boundary,T,http://tg-twdb-gemss.s3.amazonaws.com/d/indices/usgs_indices.zip,F,,,,,
LCRA 2007 140cm,"This lidar operation was designed to provide a high density set of mass points within the defined areas. The data sets are suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts. Typical uses for the data set include: FEMA Flood Plain Map Modernization. DFIRM map updates. Watersheds and other hydro studies per FEMA specifications. County Mapping projects which include several uses, in addition to Flood mitigation assessment. Mapping projects that include accuracy verification, reporting and meta data.",Raster,LAS,LCRA,"Blanco, Gillespie, Burnet, Llano, Mason, Kimble, Menard, San Saba, McCulloch, Mills, Brown, Coleman, Concho",DOQQ,N/A Downloadable,"Basemap, Research, Analysis",2007,"Blanco, Gillespie, Burnet, Llano, Mason, Kimble, Menard, San Saba, McCulloch, Mills, Brown, Coleman, Concho, Lidar, Point Cloud,  LAS, Elevation, County, Historical",,DEM,,,lidar,F,,T,,,,,
Lidar Availability Index,Tile index of Lidar data available to order from TNRIS.,Vector,Shapefile,TNRIS,Texas,State,9.15 MB,Location,2001-2014,"Texas, Index, Indices, Lidar, Point Cloud,  Status, Elevation",Number of Polygons,"GDB, Web Service",None,,Boundary,T,http://tg-twdb-gemss.s3.amazonaws.com/d/indices/tx_lidarfootprints.zip,F,,,,,
LRGV 2011,"The 6-inch orthoimagery were acquired between December 2010 and April 2011 during leaf-off conditions. The dataset covers portions of the Texas/Mexico border on the US side. Area covered is approximately 6,581 square miles. High resolution 6-inch 3-band (RGB) natural color orthoimagery for portions of the Lower Rio Grande Valley.",Raster/Imagery,MrSID,"TNRIS, BPUB, Alton, Edinburg, McAllen, Pharr, Port Isabel, San Benito, HCAD, LMWD",Hidalgo and Cameron Counties and City of McAllen. Area covered is approximately 939 square miles.,Custom???,13.3 GB,"Basemap, Research",2011,"McAllen, Hidalgo, Cameron, Aerial Imagery, Natural Color, NC, Orthoimagery, Historical",,"NAIP, TOP",Mosaics,,Imagery,F,,T,,,,,
Lynn 2005,"This imagery represents the uncompressed TIFF Tiles for the 2006 City of Lubbock 1""=100' color (0.5' GPR) orthophoto dataset covering a portion of Lynn County - just south of the City of Lubbock.",Raster/Imagery,"JPG, TIFF","Lynn County, City of Lubbock","City of Lubbock, Portions of Lynn County",DOQQ???,6.56 GB,"Basemap, Research",2005,"Lubbock, Lynn, County, Aerial Imagery, Natural Color, NC, Orthoimagery, Historical",,"NAIP, TOP",Mosaics,,Imagery,F,,T,,,,,
NAIP 2004 CIR 1m,"The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States. It is administered by the USDA's Farm Service Agency (FSA) through the Aerial Photography Field Office (APFO) in Salt Lake City. The primary goal of the NAIP program is to make digital ortho photography available to governmental agencies and the public within a year of acquisition. This ""leaf-on"" imagery is used as a base layer for GIS programs in FSA's County Service Centers, and is used to maintain the Common Land Unit (CLU) boundaries. Projects are contracted each year based upon available funding and the FSA imagery acquisition cycle. Beginning in 2003, NAIP was acquired on a 5-year cycle. 2008 was a transition year, and a three-year cycle began in 2009. Since the NAIP program began in 2003, vendors have been transitioning to digital sensors in imagery acquisition. NAIP imagery products are available either as digital ortho quarter quad tiles (DOQQs) or as compressed county mosaics (CCM). The area for DOQQs corresponds to the USGS topographic quadrangles. Each image tile covers a 3.75 x 3.75 minute quarter quadrangle plus a 300 meter buffer on all four sides. CCMs are generated by compressing DOQQ image tiles into a single mosaic. All individual tile images and the resulting mosaic are rectified in the UTM coordinate system, NAD 83, and cast into a single predetermined UTM zone.",Raster,"GeoTiff, MrSID",USDA,Texas,"3.75"" Quarter Quad, CCM",9 MB,Basemap,2004,"Texas, Statewide, National Agricultural Imagery Program, NAIP, United States Department of Agriculture, USDA, Natural Resources Conservation Service, NRCS, Color Infrared, CIR, Orthoimagery, Aerial, Historical",,Web Service,CCM,,Imagery,T,,F,r.tnris.org/arcgis/services/NAIP/NAIP_2004_1M_CIR/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/NAIP/NAIP_2004_1M_CIR/ImageServer?f=jsapi,,,
NAIP 2005 NC 2m,"The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States. It is administered by the USDA's Farm Service Agency (FSA) through the Aerial Photography Field Office (APFO) in Salt Lake City. The primary goal of the NAIP program is to make digital ortho photography available to governmental agencies and the public within a year of acquisition. This ""leaf-on"" imagery is used as a base layer for GIS programs in FSA's County Service Centers, and is used to maintain the Common Land Unit (CLU) boundaries. Projects are contracted each year based upon available funding and the FSA imagery acquisition cycle. Beginning in 2003, NAIP was acquired on a 5-year cycle. 2008 was a transition year, and a three-year cycle began in 2009. Since the NAIP program began in 2003, vendors have been transitioning to digital sensors in imagery acquisition. NAIP imagery products are available either as digital ortho quarter quad tiles (DOQQs) or as compressed county mosaics (CCM). The area for DOQQs corresponds to the USGS topographic quadrangles. Each image tile covers a 3.75 x 3.75 minute quarter quadrangle plus a 300 meter buffer on all four sides. CCMs are generated by compressing DOQQ image tiles into a single mosaic. All individual tile images and the resulting mosaic are rectified in the UTM coordinate system, NAD 83, and cast into a single predetermined UTM zone.",Raster,"GeoTiff, MrSID",USDA,Texas,"3.75"" Quarter Quad, CCM",2 MB,Basemap,2005,"Texas, Statewide, National Agricultural Imagery Program, NAIP, United States Department of Agriculture, USDA, Natural Resources Conservation Service, NRCS, Natural Color, NC, Orthoimagery, Aerial, Historical",Color balance,None,CCM,,Imagery,T,,F,,,,,
NAIP 2006 CIR 2m,"The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States. It is administered by the USDA's Farm Service Agency (FSA) through the Aerial Photography Field Office (APFO) in Salt Lake City. The primary goal of the NAIP program is to make digital ortho photography available to governmental agencies and the public within a year of acquisition. This ""leaf-on"" imagery is used as a base layer for GIS programs in FSA's County Service Centers, and is used to maintain the Common Land Unit (CLU) boundaries. Projects are contracted each year based upon available funding and the FSA imagery acquisition cycle. Beginning in 2003, NAIP was acquired on a 5-year cycle. 2008 was a transition year, and a three-year cycle began in 2009. Since the NAIP program began in 2003, vendors have been transitioning to digital sensors in imagery acquisition. NAIP imagery products are available either as digital ortho quarter quad tiles (DOQQs) or as compressed county mosaics (CCM). The area for DOQQs corresponds to the USGS topographic quadrangles. Each image tile covers a 3.75 x 3.75 minute quarter quadrangle plus a 300 meter buffer on all four sides. CCMs are generated by compressing DOQQ image tiles into a single mosaic. All individual tile images and the resulting mosaic are rectified in the UTM coordinate system, NAD 83, and cast into a single predetermined UTM zone.",Raster,"GeoTiff, MrSID",USDA,Texas,"3.75"" Quarter Quad, CCM",2 MB,Basemap,2006,"Texas, Statewide, National Agricultural Imagery Program, NAIP, United States Department of Agriculture, USDA, Natural Resources Conservation Service, NRCS, Color Infrared, CIR, Orthoimagery, Aerial, Historical","Color balance, incomplete for Texas",None,CCM,,Imagery,T,,F,,,,,
NAIP 2008 CCM,"The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States. It is administered by the USDA's Farm Service Agency (FSA) through the Aerial Photography Field Office (APFO) in Salt Lake City. The primary goal of the NAIP program is to make digital ortho photography available to governmental agencies and the public within a year of acquisition. This ""leaf-on"" imagery is used as a base layer for GIS programs in FSA's County Service Centers, and is used to maintain the Common Land Unit (CLU) boundaries. Projects are contracted each year based upon available funding and the FSA imagery acquisition cycle. Beginning in 2003, NAIP was acquired on a 5-year cycle. 2008 was a transition year, and a three-year cycle began in 2009. Since the NAIP program began in 2003, vendors have been transitioning to digital sensors in imagery acquisition. NAIP imagery products are available either as digital ortho quarter quad tiles (DOQQs) or as compressed county mosaics (CCM). The area for DOQQs corresponds to the USGS topographic quadrangles. Each image tile covers a 3.75 x 3.75 minute quarter quadrangle plus a 300 meter buffer on all four sides. CCMs are generated by compressing DOQQ image tiles into a single mosaic. All individual tile images and the resulting mosaic are rectified in the UTM coordinate system, NAD 83, and cast into a single predetermined UTM zone.",Raster,"GeoTiff, JPEG 2000",USDA,Texas,CCM,,Basemap,2008,"Texas, Statewide, National Agricultural Imagery Program, NAIP, United States Department of Agriculture, USDA, Natural Resources Conservation Service, NRCS, Natural Color, NC, Infrared, CIR, Mosaic, Orthoimagery, Aerial, Historical",1m product replaced with TOP 2008,None,CCM,,Imagery,T,,F,,,,,
NAIP 2009 CCM,"The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States. It is administered by the USDA's Farm Service Agency (FSA) through the Aerial Photography Field Office (APFO) in Salt Lake City. The primary goal of the NAIP program is to make digital ortho photography available to governmental agencies and the public within a year of acquisition. This ""leaf-on"" imagery is used as a base layer for GIS programs in FSA's County Service Centers, and is used to maintain the Common Land Unit (CLU) boundaries. Projects are contracted each year based upon available funding and the FSA imagery acquisition cycle. Beginning in 2003, NAIP was acquired on a 5-year cycle. 2008 was a transition year, and a three-year cycle began in 2009. Since the NAIP program began in 2003, vendors have been transitioning to digital sensors in imagery acquisition. NAIP imagery products are available either as digital ortho quarter quad tiles (DOQQs) or as compressed county mosaics (CCM). The area for DOQQs corresponds to the USGS topographic quadrangles. Each image tile covers a 3.75 x 3.75 minute quarter quadrangle plus a 300 meter buffer on all four sides. CCMs are generated by compressing DOQQ image tiles into a single mosaic. All individual tile images and the resulting mosaic are rectified in the UTM coordinate system, NAD 83, and cast into a single predetermined UTM zone.",Raster,"GeoTiff, JPEG 2000",USDA,"East Texas, Coastal",CCM,,Basemap,2009,"Texas, Statewide, National Agricultural Imagery Program, NAIP, United States Department of Agriculture, USDA, Natural Resources Conservation Service, NRCS, Natural Color, NC, Infrared, CIR, Mosaic, Orthoimagery, Aerial, Historical",1m product replaced with TOP 2009,None,CCM,,Imagery,T,,F,,,,,
NAIP 2010 NC\CIR 1m,"The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States. It is administered by the USDA's Farm Service Agency (FSA) through the Aerial Photography Field Office (APFO) in Salt Lake City. The primary goal of the NAIP program is to make digital ortho photography available to governmental agencies and the public within a year of acquisition. This ""leaf-on"" imagery is used as a base layer for GIS programs in FSA's County Service Centers, and is used to maintain the Common Land Unit (CLU) boundaries. Projects are contracted each year based upon available funding and the FSA imagery acquisition cycle. Beginning in 2003, NAIP was acquired on a 5-year cycle. 2008 was a transition year, and a three-year cycle began in 2009. Since the NAIP program began in 2003, vendors have been transitioning to digital sensors in imagery acquisition. NAIP imagery products are available either as digital ortho quarter quad tiles (DOQQs) or as compressed county mosaics (CCM). The area for DOQQs corresponds to the USGS topographic quadrangles. Each image tile covers a 3.75 x 3.75 minute quarter quadrangle plus a 300 meter buffer on all four sides. CCMs are generated by compressing DOQQ image tiles into a single mosaic. All individual tile images and the resulting mosaic are rectified in the UTM coordinate system, NAD 83, and cast into a single predetermined UTM zone.",Raster,"GeoTiff, JPEG 2000",USDA,Texas,"3.75"" Quarter Quad, CCM",85 MB,Basemap,2010,"Texas, Statewide, National Agricultural Imagery Program, NAIP, United States Department of Agriculture, USDA, Natural Resources Conservation Service, NRCS, Natural Color, NC, Infrared, CIR, Mosaic, Orthoimagery, Aerial, Historical",Only color balanced with 3 of 4 bands,Web Service,CCM,,Imagery,T,,F,r.tnris.org/arcgis/services/NAIP/NAIP_2010_1M_NC_/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/NAIP/NAIP_2010_1M_NC_/ImageServer?f=jsapi,,,
NAIP 2012 NC\CIR 1m,"The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States. It is administered by the USDA's Farm Service Agency (FSA) through the Aerial Photography Field Office (APFO) in Salt Lake City. The primary goal of the NAIP program is to make digital ortho photography available to governmental agencies and the public within a year of acquisition. This ""leaf-on"" imagery is used as a base layer for GIS programs in FSA's County Service Centers, and is used to maintain the Common Land Unit (CLU) boundaries. Projects are contracted each year based upon available funding and the FSA imagery acquisition cycle. Beginning in 2003, NAIP was acquired on a 5-year cycle. 2008 was a transition year, and a three-year cycle began in 2009. Since the NAIP program began in 2003, vendors have been transitioning to digital sensors in imagery acquisition. NAIP imagery products are available either as digital ortho quarter quad tiles (DOQQs) or as compressed county mosaics (CCM). The area for DOQQs corresponds to the USGS topographic quadrangles. Each image tile covers a 3.75 x 3.75 minute quarter quadrangle plus a 300 meter buffer on all four sides. CCMs are generated by compressing DOQQ image tiles into a single mosaic. All individual tile images and the resulting mosaic are rectified in the UTM coordinate system, NAD 83, and cast into a single predetermined UTM zone.",Raster,"GeoTiff, JPEG 2000",USDA,Texas,"3.75"" Quarter Quad, CCM",75 MB,Basemap,2012,"Texas, Statewide, National Agricultural Imagery Program, NAIP, United States Department of Agriculture, USDA, Natural Resources Conservation Service, NRCS, Natural Color, NC, Infrared, CIR, Mosaic, Orthoimagery, Aerial, Historical",Only color balanced with 3 of 4 bands,Web Service,CCM,,Imagery,T,,F,r.tnris.org/arcgis/services/NAIP/NAIP_2012_1M_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/NAIP/NAIP_2012_1M_NC/ImageServer?f=jsapi,,,
Natural Regions,"This dataset was set up as a system to identify broad natural regions of Texas, to serve as a common point of reference for scientists, students, visitors and all citizens of Texas; and to locate and recommend for preservation natural areas that contain unique, significant, unusual and scenic resources, including rare or endangered species and endangered geological formations and ecosystems, with the goal of preserving elements of Texas natural diversity (LBJ School of Public Affairs, 1978 p17).",Vector,Shapefile,TPWD,Texas,Statewide,305 KB,Basemap,,"Texas, Statewide, Texas Parks and Wildlife Department, TPWD, Natural Regions, Ecological, Species, Habitat, Ecosystem, Geology, Formation, Historical",Age,None,None,,Natural Regions,T,http://tg-twdb-gemss.s3.amazonaws.com/d/naturalregions/natural_regions.zip,F,,,,,
NCTCOG 2001 NC 1ft,"North Central Texas Council of Governments facilitated the purchase of digital aerial photography (orthos) for the following 11 counties in North Central Texas: Collin, Dallas, Denton, Ellis, Hunt, Johnson, Kaufman, Navarro, Rockwall, Somervell and Tarrant. The orthos are one-foot resolution and were gathered in February and March of 2001. The contractor for this project was Vargis, LLC. Each TIFF ortho tile is 3,000' x 2,000', or 0.215 square miles.",Raster,MrSID,NCTCOG,NCTCOG Counties,NCTCOG Flight Grid,N/A Downloadable,Basemap,2001,"North Central Texas Council of Governments, NCTCOG, Dallas, Fort Worth, Tarrant, County, Regional, Orthoimagery, Aerial Imagery, Natural Color, NC, Historical",,Web Service,None,,Imagery,F,,T,,,,,
